,Variable,Model,Type,Correlation
173,Sea ice fraction,ACCESS-ESM1-5,Correlation_npp,0.2691135900699801
174,SST,ACCESS-ESM1-5,Correlation_npp,-0.279206022157422
175,Iron,CMCC-ESM2,Correlation_npp,0.1529682620045341
176,NPP,CMCC-ESM2,Correlation_npp,
177,Diatom,CMCC-ESM2,Correlation_npp,0.9979169325373792
178,MLD,CMCC-ESM2,Correlation_npp,-0.0193840574692026
179,Nitrate,CMCC-ESM2,Correlation_npp,0.0800218489381919
180,PAR,CMCC-ESM2,Correlation_npp,0.9555849935220158
181,Sea ice fraction,CMCC-ESM2,Correlation_npp,0.0966458282865428
182,SST,CMCC-ESM2,Correlation_npp,-0.082917566943212
183,NPP,EC-Earth3-CC,Correlation_npp,
184,Diatom,EC-Earth3-CC,Correlation_npp,0.928945362034068
185,MLD,EC-Earth3-CC,Correlation_npp,0.4435686536958535
186,Nitrate,EC-Earth3-CC,Correlation_npp,0.1792388348115446
187,PAR,EC-Earth3-CC,Correlation_npp,0.8643629699164536
188,Sea ice fraction,EC-Earth3-CC,Correlation_npp,0.1376410869924293
189,SST,EC-Earth3-CC,Correlation_npp,0.370208313536735
190,Iron,IPSL-CM6A-LR,Correlation_npp,0.0368895870774756
191,NPP,IPSL-CM6A-LR,Correlation_npp,
192,Diatom,IPSL-CM6A-LR,Correlation_npp,0.9664842683173412
193,MLD,IPSL-CM6A-LR,Correlation_npp,-0.2042812527895049
194,Nitrate,IPSL-CM6A-LR,Correlation_npp,-0.5234418874795019
195,PAR,IPSL-CM6A-LR,Correlation_npp,0.8192197332656955
196,Sea ice fraction,IPSL-CM6A-LR,Correlation_npp,0.2834765263542586
197,SST,IPSL-CM6A-LR,Correlation_npp,-0.221910020298615
198,Iron,MPI-ESM1-2-HR,Correlation_npp,-0.658360160551325
199,NPP,MPI-ESM1-2-HR,Correlation_npp,
200,MLD,MPI-ESM1-2-HR,Correlation_npp,0.010388948496655
201,Nitrate,MPI-ESM1-2-HR,Correlation_npp,-0.6388572532879742
202,PAR,MPI-ESM1-2-HR,Correlation_npp,0.8388468299888004
203,Sea ice fraction,MPI-ESM1-2-HR,Correlation_npp,0.2194236735724421
