,Variable,Model,Zone,Type,Correlation
138,PAR,IPSL-CM6A-LR,Inc,Kendall,0.3792681582449652
139,PAR,IPSL-CM6A-LR,Dec,Kendall,0.0133570035118648
140,Sea ice fraction,IPSL-CM6A-LR,Inc,Kendall,0.3439512861351224
141,Sea ice fraction,IPSL-CM6A-LR,Dec,Kendall,-0.0399558311546898
142,SST,IPSL-CM6A-LR,Inc,Kendall,-0.3003291438113906
143,SST,IPSL-CM6A-LR,Dec,Kendall,0.0176534775012769
144,Iron,MPI-ESM1-2-HR,Inc,Kendall,-0.5032107077475466
145,Iron,MPI-ESM1-2-HR,Dec,Kendall,-0.3138905967223591
146,NPP,MPI-ESM1-2-HR,Inc,Kendall,0.7098263026969485
147,NPP,MPI-ESM1-2-HR,Dec,Kendall,0.5876217012021616
148,MLD,MPI-ESM1-2-HR,Inc,Kendall,-0.058724278010205
149,MLD,MPI-ESM1-2-HR,Dec,Kendall,-0.0612804242750566
150,Nitrate,MPI-ESM1-2-HR,Inc,Kendall,-0.4810384853081029
151,Nitrate,MPI-ESM1-2-HR,Dec,Kendall,-0.3191551252153892
152,PAR,MPI-ESM1-2-HR,Inc,Kendall,0.5484293545087108
153,PAR,MPI-ESM1-2-HR,Dec,Kendall,0.1779823167160079
154,Sea ice fraction,MPI-ESM1-2-HR,Inc,Kendall,0.1262964806271978
155,Sea ice fraction,MPI-ESM1-2-HR,Dec,Kendall,0.0110320231741527
156,SST,MPI-ESM1-2-HR,Inc,Kendall,0.1052985949887157
157,SST,MPI-ESM1-2-HR,Dec,Kendall,0.0818847480796565
158,Export,EC-Earth3-CC,Inc,Kendall,
159,Export,EC-Earth3-CC,Dec,Kendall,
160,Export,MPI-ESM1-2-HR,Inc,Kendall,
161,Export,MPI-ESM1-2-HR,Dec,Kendall,
162,Export,ACCESS-ESM1-5,Inc,Kendall,
163,Export,ACCESS-ESM1-5,Dec,Kendall,
164,Export,CMCC-ESM2,Inc,Kendall,
165,Export,CMCC-ESM2,Dec,Kendall,
166,Export,IPSL-CM6A-LR,Inc,Kendall,
167,Export,IPSL-CM6A-LR,Dec,Kendall,
168,Iron,ACCESS-ESM1-5,Inc,Correlation_ice,0.2193097530980797
169,Iron,ACCESS-ESM1-5,Dec,Correlation_ice,-0.2010761600112902
170,NPP,ACCESS-ESM1-5,Inc,Correlation_ice,0.2731902028641144
171,NPP,ACCESS-ESM1-5,Dec,Correlation_ice,-0.3608235380357454
172,MLD,ACCESS-ESM1-5,Inc,Correlation_ice,-0.3623411669321777
173,MLD,ACCESS-ESM1-5,Dec,Correlation_ice,0.0414453493278079
174,Nitrate,ACCESS-ESM1-5,Inc,Correlation_ice,-0.554403193161098
175,Nitrate,ACCESS-ESM1-5,Dec,Correlation_ice,-0.0989675770419503
176,PAR,ACCESS-ESM1-5,Inc,Correlation_ice,0.5054096078929701
177,PAR,ACCESS-ESM1-5,Dec,Correlation_ice,0.0767678229321092
178,Sea ice fraction,ACCESS-ESM1-5,Inc,Correlation_ice,
179,Sea ice fraction,ACCESS-ESM1-5,Dec,Correlation_ice,
180,SST,ACCESS-ESM1-5,Inc,Correlation_ice,-0.7808619091673642
181,SST,ACCESS-ESM1-5,Dec,Correlation_ice,-0.818554101321937
182,Iron,CMCC-ESM2,Inc,Correlation_ice,0.0926480881074951
183,Iron,CMCC-ESM2,Dec,Correlation_ice,-0.4885565620657436
184,NPP,CMCC-ESM2,Inc,Correlation_ice,0.0600819419067357
185,NPP,CMCC-ESM2,Dec,Correlation_ice,0.3086263395621562
186,Diatom,CMCC-ESM2,Inc,Correlation_ice,0.083052502205029
187,Diatom,CMCC-ESM2,Dec,Correlation_ice,0.365680056761376
188,MLD,CMCC-ESM2,Inc,Correlation_ice,-0.5000528298266069
189,MLD,CMCC-ESM2,Dec,Correlation_ice,-0.5841786958691197
190,Nitrate,CMCC-ESM2,Inc,Correlation_ice,-0.3223006642558851
191,Nitrate,CMCC-ESM2,Dec,Correlation_ice,-0.6203994328938937
192,PAR,CMCC-ESM2,Inc,Correlation_ice,0.0458250662569597
193,PAR,CMCC-ESM2,Dec,Correlation_ice,0.4890677989243264
194,Sea ice fraction,CMCC-ESM2,Inc,Correlation_ice,
195,Sea ice fraction,CMCC-ESM2,Dec,Correlation_ice,
196,SST,CMCC-ESM2,Inc,Correlation_ice,-0.8738228921158874
197,SST,CMCC-ESM2,Dec,Correlation_ice,-0.902046267355306
198,NPP,EC-Earth3-CC,Inc,Correlation_ice,0.1034111850529706
199,NPP,EC-Earth3-CC,Dec,Correlation_ice,0.2925910232284314
200,Diatom,EC-Earth3-CC,Inc,Correlation_ice,-0.0006570133921781
201,Diatom,EC-Earth3-CC,Dec,Correlation_ice,0.0076730641049678
202,MLD,EC-Earth3-CC,Inc,Correlation_ice,-0.2822374764306226
203,MLD,EC-Earth3-CC,Dec,Correlation_ice,-0.2859311668174213
204,Nitrate,EC-Earth3-CC,Inc,Correlation_ice,-0.5657122361066944
205,Nitrate,EC-Earth3-CC,Dec,Correlation_ice,-0.543791573464646
206,PAR,EC-Earth3-CC,Inc,Correlation_ice,0.356021354539826
207,PAR,EC-Earth3-CC,Dec,Correlation_ice,0.6487933098346005
