,Variable,Model,Season,Type,Correlation
250,Export,IPSL-CM6A-LR,Summer,Correlation_ice,0.3899700565241988
251,Export,IPSL-CM6A-LR,Winter,Correlation_ice,0.5366364997756714
252,Iron,ACCESS-ESM1-5,Summer,Correlation_ice_k,0.2053640962268579
253,Iron,ACCESS-ESM1-5,Winter,Correlation_ice_k,0.2600493641552131
254,NPP,ACCESS-ESM1-5,Summer,Correlation_ice_k,0.418735241864315
255,NPP,ACCESS-ESM1-5,Winter,Correlation_ice_k,0.4020196590976019
256,MLD,ACCESS-ESM1-5,Summer,Correlation_ice_k,-0.4226719378208591
257,MLD,ACCESS-ESM1-5,Winter,Correlation_ice_k,-0.2029345240955078
258,Nitrate,ACCESS-ESM1-5,Summer,Correlation_ice_k,-0.2962212801087406
259,Nitrate,ACCESS-ESM1-5,Winter,Correlation_ice_k,-0.2971363260475614
260,PAR,ACCESS-ESM1-5,Summer,Correlation_ice_k,0.4604041613912424
261,PAR,ACCESS-ESM1-5,Winter,Correlation_ice_k,0.0560376047727671
262,Sea ice fraction,ACCESS-ESM1-5,Summer,Correlation_ice_k,
263,Sea ice fraction,ACCESS-ESM1-5,Winter,Correlation_ice_k,
264,SST,ACCESS-ESM1-5,Summer,Correlation_ice_k,-0.0943808750373706
265,SST,ACCESS-ESM1-5,Winter,Correlation_ice_k,-0.8006470399449022
266,Iron,CMCC-ESM2,Summer,Correlation_ice_k,-0.2067655285657395
267,Iron,CMCC-ESM2,Winter,Correlation_ice_k,0.0864668912021927
268,NPP,CMCC-ESM2,Summer,Correlation_ice_k,0.4092122457333734
269,NPP,CMCC-ESM2,Winter,Correlation_ice_k,-0.1123383407285661
270,Diatom,CMCC-ESM2,Summer,Correlation_ice_k,0.4236546243257693
271,Diatom,CMCC-ESM2,Winter,Correlation_ice_k,-0.0808670688527028
272,MLD,CMCC-ESM2,Summer,Correlation_ice_k,-0.0419895474958375
273,MLD,CMCC-ESM2,Winter,Correlation_ice_k,-0.3080350319587654
274,Nitrate,CMCC-ESM2,Summer,Correlation_ice_k,-0.3525557001431046
275,Nitrate,CMCC-ESM2,Winter,Correlation_ice_k,-0.180850145334131
276,PAR,CMCC-ESM2,Summer,Correlation_ice_k,0.3152497969589348
277,PAR,CMCC-ESM2,Winter,Correlation_ice_k,0.0285239586574655
278,Sea ice fraction,CMCC-ESM2,Summer,Correlation_ice_k,
279,Sea ice fraction,CMCC-ESM2,Winter,Correlation_ice_k,
280,SST,CMCC-ESM2,Summer,Correlation_ice_k,-0.4631455529399934
281,SST,CMCC-ESM2,Winter,Correlation_ice_k,-0.8291783797532984
282,NPP,EC-Earth3-CC,Summer,Correlation_ice_k,0.0997756751766323
283,NPP,EC-Earth3-CC,Winter,Correlation_ice_k,0.2839021642516321
284,Diatom,EC-Earth3-CC,Summer,Correlation_ice_k,0.1986582231353243
285,Diatom,EC-Earth3-CC,Winter,Correlation_ice_k,0.2406957498009612
286,MLD,EC-Earth3-CC,Summer,Correlation_ice_k,-0.007515973364474
287,MLD,EC-Earth3-CC,Winter,Correlation_ice_k,-0.0665159458113532
288,Nitrate,EC-Earth3-CC,Summer,Correlation_ice_k,-0.3365107123534461
289,Nitrate,EC-Earth3-CC,Winter,Correlation_ice_k,-0.3092938881655402
290,PAR,EC-Earth3-CC,Summer,Correlation_ice_k,0.5254974747124636
291,PAR,EC-Earth3-CC,Winter,Correlation_ice_k,0.3437499296215153
292,SST,EC-Earth3-CC,Summer,Correlation_ice_k,0.2205476184448832
293,SST,EC-Earth3-CC,Winter,Correlation_ice_k,-0.561826253210822
294,Iron,IPSL-CM6A-LR,Summer,Correlation_ice_k,0.2680216133789969
295,Iron,IPSL-CM6A-LR,Winter,Correlation_ice_k,0.099529451991481
296,NPP,IPSL-CM6A-LR,Summer,Correlation_ice_k,0.3132060397208446
297,NPP,IPSL-CM6A-LR,Winter,Correlation_ice_k,-0.1309365723469205
298,Diatom,IPSL-CM6A-LR,Summer,Correlation_ice_k,0.4333993622914911
299,Diatom,IPSL-CM6A-LR,Winter,Correlation_ice_k,-0.1309653724203848
